,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.758237437,0.2800715835,0.3625123904,1.2528603407,0.0067003613,0.0074450116,1283.8371589804,2371.3094661333,1.0055551921
muB,0.6897767981,0.1484959788,0.4177651199,0.9580006136,0.0030203604,0.0019768829,2536.2644139253,4273.9495338511,1.0017873649
k,8446001.914433273,3816394.057637753,2647383.9915451347,15435860.301384563,87386.166303535,71243.8536407576,1773.698435452,4389.4141874387,1.0014430586
phi,5.1e-09,2.5e-09,1.5e-09,9.7e-09,1e-10,0.0,303.2731092077,930.0408153955,1.0101651659
beta,41.4851875982,22.7247520469,6.1812557782,85.9801299484,1.3641225713,0.5806922102,290.9229625222,763.037472997,1.0146950801
H0,645419.6114298659,778226.6305371986,200040.7986028551,1382853.250851029,15535.8510670543,45212.7461069471,2293.6077005252,3220.1502060343,1.0008286461
B0,398443.7473839569,716059.9680267071,20325.6387412771,1140213.608047763,13895.9457288989,44817.4357829812,2501.3167925944,4113.6148022856,1.001300115
P0,10260535.739871448,13229714.852137491,200047.5063842494,39267410.403025314,358364.028325582,257299.8626762166,1078.193213405,3599.8513585235,1.0052411006
sigma_host,0.8158272312,0.2715171535,0.4101491007,1.3397164619,0.0064676138,0.004264802,1766.6498007486,4196.9640641444,1.0037124933
sigma_bacteria,1.761372128,0.3529155965,1.1612243514,2.424793685,0.0044612398,0.0033932053,6777.8143391934,8435.0116368448,1.0006628212
